support,itemsets
0.9033333333333333,frozenset({'Support_From_Close'})
0.8633333333333333,frozenset({'Emotional_Impact'})
0.68,frozenset({'Travel_Impact'})
0.6266666666666667,frozenset({'Smoked_Cigarettes'})
0.6266666666666667,frozenset({'Coping_Strategy_Badly'})
0.6166666666666667,frozenset({'Self_Care_No_problems'})
0.5866666666666667,frozenset({'Chemotherapy'})
0.58,frozenset({'Source_of_Income_Employment'})
0.5466666666666666,frozenset({'Daily_Life_Impact_Psychological'})
0.54,frozenset({'Gender_Female'})
0.49333333333333335,frozenset({'Time_to_Treatment_One_to_three_months'})
0.43,frozenset({'Negative_Emotions_Often'})
0.41333333333333333,frozenset({'Symptom_Frequency_Most_of_time'})
0.39,frozenset({'Daily_Activities_Difficulty_No_problems'})
0.37333333333333335,frozenset({'Energy_Level_Mostly'})
0.37333333333333335,frozenset({'Symptom_Household_Impact_Often_affect'})
0.34,frozenset({'Medical_Treatment_Need_Large_extent'})
0.31666666666666665,frozenset({'Dependency_Fear_Large_extent'})
0.3,frozenset({'Residence_Town_upto_100k'})
0.29333333333333333,frozenset({'Hospitalization_Number_Three_to_five'})
0.26,frozenset({'Education_Level_Higher'})
0.24666666666666667,frozenset({'Quality_of_Life_Good'})
0.24,frozenset({'Sleep_Issues_Most_of_time'})
0.22333333333333333,frozenset({'Symptoms_exp_cough'})
0.20333333333333334,frozenset({'Work_Readiness_Moderately_satisfied'})
0.5333333333333333,frozenset({'Marital_Status_Married'})
0.44,frozenset({'Hospitalization_Number_One_to_three'})
0.39666666666666667,frozenset({'Daily_Activities_Difficulty_Minor_problems'})
0.38666666666666666,frozenset({'Surgical_Treatment'})
0.38,frozenset({'Education_Level_Secondary'})
0.32666666666666666,frozenset({'Medical_Treatment_Need_Moderately'})
0.2866666666666667,frozenset({'Age_Group_30_45'})
0.24,frozenset({'Time_to_Treatment_More_than_three_months'})
0.7766666666666666,frozenset({'Support_Satisfaction_Satisfied'})
0.7,frozenset({'Health_Satisfaction'})
0.43666666666666665,frozenset({'Sleep_Issues_Rather_rarely'})
0.41,frozenset({'Quality_of_Life_Bad'})
0.29,frozenset({'Symptom_Household_Impact_Rarely_affect'})
0.27,frozenset({'Symptom_Frequency_Rather_rarely'})
0.26666666666666666,frozenset({'Time_to_Treatment_Up_to_one_month'})
0.25666666666666665,frozenset({'Negative_Emotions_Rarely'})
0.58,frozenset({'Work_Readiness_Dissatisfied'})
0.46,frozenset({'Gender_Male'})
0.29333333333333333,frozenset({'Daily_Life_Impact_physical'})
0.28,frozenset({'Age_Group_Above_60'})
0.27,frozenset({'Dependency_Fear_Very_large_extent'})
0.22666666666666666,frozenset({'Medical_Treatment_Need_Very_large_extent'})
0.22333333333333333,frozenset({'Quality_of_Life_Very_bad'})
0.21,frozenset({'Negative_Emotions_All_the_time'})
0.2,frozenset({'Self_Care_Minor_problems'})
0.30666666666666664,frozenset({'Age_Group_46_60'})
0.2733333333333333,frozenset({'Education_Level_Vocational'})
0.20666666666666667,frozenset({'Dependency_Fear_Not_afraid'})
0.37333333333333335,frozenset({'Residence_Town_100k_500k'})
0.20666666666666667,frozenset({'Dependency_Fear_Minimally'})
0.36666666666666664,frozenset({'Radiotherapy'})
0.30666666666666664,frozenset({'Energy_Level_Very_little'})
0.2833333333333333,frozenset({'Coping_Strategy_Well'})
0.24333333333333335,frozenset({'Symptoms_exp_weakness'})
0.22,frozenset({'Sleep_Issues_Not_once'})
0.21666666666666667,frozenset({'Work_Readiness_Satisfied'})
0.20666666666666667,frozenset({'Energy_Level_Fully'})
0.20666666666666667,frozenset({'Symptom_Household_Impact_Do_not_affect'})
0.20333333333333334,frozenset({'Symptom_Frequency_Did_not_occur'})
0.20333333333333334,frozenset({'Symptoms_exp_None'})
0.81,"frozenset({'Support_From_Close', 'Emotional_Impact'})"
